S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111
2,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846
3,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560
