S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
2,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
3,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
4,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
5,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
6,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
7,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
