S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
2,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
