S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
2,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
3,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
4,Thane(25),NARESH GANPAT MHASKE,734231,217011
5,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
6,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
7,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
