S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Jalgaon(3),SMITA UDAY WAGH,674428,251594
2,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183
3,Akola(6),ANUP SANJAY DHOTRE,457030,40626
4,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603
5,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306
6,Mumbai North(26),PIYUSH GOYAL,680146,357608
7,Pune(34),MURLIDHAR MOHOL,584728,123038
8,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
9,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858
