S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Wardha(8),AMAR SHARADRAO KALE,533106,81648
2,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199
3,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
4,Baramati(35),SUPRIYA SULE,732312,158333
5,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951
6,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929
7,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553
8,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
