S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264
2,Dumka(2),NALIN SOREN,547370,22527
3,Singhbhum(10),JOBA MAJHI,520164,168402
