S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Godda(3),NISHIKANT DUBEY,693140,101813
2,Chatra(4),KALI CHARAN SINGH,574556,220959
3,Kodarma(5),ANNPURNA DEVI,791657,377014
4,Dhanbad(7),DULU MAHATO,789172,331583
5,Ranchi(8),SANJAY SETH,664732,120512
6,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
7,Palamau(13),VISHNU DAYAL RAM,770362,288807
8,Hazaribagh(14),MANISH JAISWAL,654613,276686
