S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,GANGANAGAR (1),KULDEEP INDORA,726492,88153
2,CHURU(3),RAHUL KASWAN,728211,72737
3,JHUNJHUNU (4),BRIJENDRA SINGH OLA,553168,18235
4,BHARATPUR (9),SANJNA JATAV,579890,51983
5,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
6,DAUSA (11),MURARI LAL MEENA,646266,237340
7,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
8,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
