S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
2,North-East Delhi(2),MANOJ TIWARI,824451,138778
3,East Delhi(3),HARSH MALHOTRA,664819,93663
4,New Delhi(4),BANSURI SWARAJ,453185,78370
5,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
6,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
7,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
