S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
2,KRISHNAGIRI(9),GOPINATH K,492883,192486
3,KARUR(23),JOTHIMANI. S,534906,166816
4,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
5,MAYILADUTHURAI(28),SUDHA R,518459,271183
6,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
7,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
8,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
9,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
