S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,VILUPPURAM(13),RAVIKUMAR. D,477033,70703
2,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554
