S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Saharanpur(1),IMRAN MASOOD,547967,64542
2,Sitapur(30),RAKESH RATHOR,531138,89641
3,Rae Bareli(36),RAHUL GANDHI,687649,390030
4,Amethi(37),KISHORI LAL,539228,167196
5,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
6,Barabanki(53),TANUJ PUNIA,719927,215704
