S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
2,Garhwal(2),ANIL BALUNI,432159,163503
3,Almora(3),AJAY TAMTA,429167,234097
4,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
5,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
