S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Malappuram(6),E.T. MOHAMMED BASHEER,644006,300118
2,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760
